n,Rewrite_for,rewriting,rewriting (vm only),cbv,lazy,vm_compute,native(1)(real),native(2)(real),cbn,simpl
3601,5.528,5.132,5.088,3.563,10.188,0.192,0.309,0.312,,
3603,5.556,5.148,5.104,3.543,9.284,0.179,0.308,0.306,,
3605,5.5,5.108,5.064,3.543,10.027,0.188,0.311,0.248,,
3607,5.532,5.128,5.079,3.523,9.475,0.191,0.307,0.36,,
3609,5.492,5.087,5.043,3.592,9.328,0.183,0.318,0.339,,
3611,5.519,5.115,5.063,3.596,9.587,0.188,0.32,0.308,,
3613,5.523,5.119,5.072,3.603,9.416,0.192,0.313,0.312,,
3615,5.496,5.1,5.059,3.635,10.271,0.183,0.246,0.238,,
3617,5.583,5.188,5.139,3.624,9.367,0.187,0.302,0.309,,
3619,5.632,5.22,5.171,3.615,10.271,0.191,0.236,0.244,,
3621,5.563,5.179,5.132,3.559,9.391,0.183,0.232,0.296,,
3623,5.536,5.148,5.104,3.595,10.152,0.187,0.324,0.238,,
3625,5.576,5.183,5.135,3.599,9.576,0.188,0.232,0.238,,
3627,5.576,5.172,5.128,3.607,9.423,0.191,0.306,0.315,,
3629,5.527,5.14,5.092,3.655,9.608,0.188,0.315,0.242,,
3631,5.548,5.151,5.103,3.584,9.519,0.187,0.301,0.32,,
3633,5.636,5.231,5.188,3.635,10.427,0.188,0.244,0.307,,
3635,5.676,5.271,5.22,3.587,9.444,0.188,0.287,0.248,,
3637,5.619,5.219,5.171,3.635,10.412,0.188,0.238,0.317,,
3639,5.584,5.199,5.155,3.62,9.583,0.188,0.305,0.313,,
3641,5.576,5.188,5.14,3.632,9.552,0.183,0.264,0.303,,
3643,5.612,5.224,5.183,3.648,10.479,0.188,0.317,0.327,,
3645,5.612,5.215,5.167,3.611,9.435,0.188,0.264,0.321,,
3647,5.608,5.215,5.167,3.639,10.34,0.187,0.311,0.324,,
3649,5.7,5.307,5.256,3.66,9.728,0.188,0.308,0.269,,
3651,5.703,5.291,5.247,3.648,9.596,0.188,0.278,0.237,,
3653,5.66,5.26,5.22,3.655,9.779,0.187,0.236,0.231,,
3655,5.648,5.248,5.192,3.652,9.679,0.188,0.303,0.29,,
3657,5.623,5.228,5.175,3.664,10.551,0.191,0.306,0.311,,
3659,5.636,5.247,5.203,3.679,9.652,0.188,0.324,0.244,,
3661,5.644,5.251,5.207,3.708,10.492,0.188,0.295,0.366,,
3663,5.648,5.255,5.211,3.695,9.708,0.187,0.317,0.327,,
3665,5.739,5.347,5.307,3.72,9.635,0.188,0.319,0.361,,
3667,5.719,5.324,5.28,3.675,10.639,0.191,0.318,0.271,,
3669,5.679,5.292,5.252,3.688,9.635,0.188,0.306,0.322,,
3671,5.668,5.275,5.228,3.711,10.528,0.188,0.321,0.29,,
3673,5.716,5.319,5.279,3.679,9.788,0.191,0.25,0.317,,
3675,5.699,5.307,5.252,3.728,9.675,0.192,0.303,0.283,,
3677,5.728,5.336,5.292,3.679,10.627,0.191,0.318,0.313,,
3679,5.675,5.284,5.24,3.743,9.668,0.191,0.318,0.291,,
3681,5.815,5.423,5.38,3.704,10.555,0.192,0.249,0.308,,
3683,5.788,5.38,5.336,3.695,9.839,0.191,0.319,0.332,,
3685,5.724,5.327,5.275,3.703,9.763,0.191,0.327,0.263,,
3687,5.711,5.328,5.284,3.731,10.715,0.192,0.345,0.327,,
3689,5.683,5.296,5.252,3.748,9.823,0.191,0.314,0.321,,
3691,5.739,5.351,5.307,3.715,9.756,0.191,0.246,0.312,,
3693,5.743,5.347,5.304,3.731,10.032,0.192,0.324,0.321,,
